Start at 3431
65614.00,-36.00,-25.00,12.00,Direct
67770.00,-22.00,37.53,10.00,degress
67930.00,-11.00,19.00,10.00,Direct
69090.00,-64.00,13.82,19.00,degress
69242.00,-32.00,7.00,19.00,Direct
70396.00,-102.00,-7.47,22.00,degress
70558.00,-51.00,-4.00,22.00,Direct
71721.00,-30.00,19.75,11.00,degress
71875.00,-15.00,10.00,11.00,Direct
73029.00,5.92,33.58,-3.00,degress
73191.00,5.00,17.00,-3.00,Direct
75355.00,-10.00,-9.33,-8.00,degress
75508.00,-5.00,-5.00,-8.00,Direct
77666.00,15.40,45.42,-16.00,degress
77828.00,13.00,23.00,-16.00,Direct
78989.00,15.40,31.60,-16.00,degress
79142.00,13.00,16.00,-16.00,Direct
81298.00,13.03,25.68,-13.00,degress
81458.00,11.00,13.00,-13.00,Direct
82618.00,7.11,23.70,-11.00,degress
82772.00,6.00,12.00,-11.00,Direct
83931.00,0.00,19.75,2.00,degress
84100.00,0.00,10.00,2.00,Direct
85261.00,8.30,25.68,-6.00,degress
85414.00,7.00,13.00,-6.00,Direct
87571.00,8.30,23.70,-8.00,degress
87732.00,7.00,12.00,-8.00,Direct
88893.00,13.03,21.73,-12.00,degress
89046.00,11.00,11.00,-12.00,Direct
90200.00,14.22,25.68,-17.00,degress
90360.00,12.00,13.00,-17.00,Direct
91521.00,9.48,31.60,-13.00,degress
91674.00,8.00,16.00,-13.00,Direct
93830.00,14.22,31.60,-16.00,degress
93990.00,12.00,16.00,-16.00,Direct
95163.00,16.59,21.73,-17.00,degress
95339.00,14.00,11.00,-17.00,Direct
96517.00,8.30,29.63,-20.00,degress
96701.00,7.00,15.00,-20.00,Direct
97885.00,7.11,31.60,-11.00,degress
98062.00,6.00,16.00,-11.00,Direct
99239.00,14.22,35.55,-21.00,degress
99424.00,12.00,18.00,-21.00,Direct
101608.00,15.40,39.50,-15.00,degress
101783.00,13.00,20.00,-15.00,Direct
102960.00,18.96,23.70,-19.00,degress
103143.00,16.00,12.00,-19.00,Direct
104327.00,15.40,39.50,-25.00,degress
104503.00,13.00,20.00,-25.00,Direct
105676.00,13.03,33.58,-17.00,degress
105861.00,11.00,17.00,-17.00,Direct
108045.00,15.40,37.53,-20.00,degress
108221.00,13.00,19.00,-20.00,Direct
109399.00,15.40,39.50,-21.00,degress
109583.00,13.00,20.00,-21.00,Direct
110767.00,13.03,35.55,-15.00,degress
110944.00,11.00,18.00,-15.00,Direct
